,0
0,arrange()
1,count()
2,tally()
3,add_count()
4,add_tally()
5,distinct()
6,filter()
7,glimpse
8,mutate()
9,transmute()
10,pull()
11,relocate()
12,rename()
13,rename_with()
14,select()
15,summarise()
16,summarize()
17,slice()
18,slice_head()
19,slice_tail()
20,slice_min()
21,slice_max()
22,slice_sample()
23,bind_rows()
24,bind_cols()
25,reexports
26,data_frame
27,data_frame_
28,as_data_frame
29,lst
30,lst_
31,add_row
32,type_sum
33,frame_data
34,tribble
35,tibble
36,as_tibble
37,view
38,tbl_sum
39,contains
40,select_helpers
41,ends_with
42,everything
43,matches
44,num_range
45,one_of
46,starts_with
47,last_col
48,any_of
49,all_of
50,intersect
51,union
52,setdiff
53,setequal
54,%>%
55,union_all()
56,inner_join()
57,left_join()
58,right_join()
59,full_join()
60,nest_join()
61,semi_join()
62,anti_join()
63,group_by()
64,ungroup()
65,group_cols()
66,rowwise()
67,across()
68,if_any()
69,if_all()
70,c_across()
71,between()
72,case_when()
73,coalesce()
74,cumall()
75,cumany()
76,cummean()
77,desc()
78,if_else()
79,lag()
80,lead()
81,order_by()
82,n()
83,cur_data()
84,cur_data_all()
85,cur_group()
86,cur_group_id()
87,cur_group_rows()
88,cur_column()
89,n_distinct()
90,na_if()
91,near()
92,nth()
93,first()
94,last()
95,row_number()
96,ntile()
97,min_rank()
98,dense_rank()
99,percent_rank()
100,cume_dist()
101,recode()
102,recode_factor()
103,band_members
104,band_instruments
105,band_instruments2
106,starwars
107,storms
108,auto_copy()
109,compute()
110,collect()
111,collapse()
112,copy_to()
113,ident()
114,explain()
115,show_query()
116,tbl()
117,is.tbl()
118,sql()
119,group_map()
120,group_modify()
121,group_walk()
122,group_trim()
123,group_split()
124,with_groups()
125,rows_insert()
126,rows_append()
127,rows_update()
128,rows_patch()
129,rows_upsert()
130,rows_delete()
131,all_equal()
132,sample_n()
133,sample_frac()
134,top_n()
135,top_frac()
136,scoped
137,all_vars()
138,any_vars()
139,vars()
