,0
https://dplyr.tidyverse.org/reference/arrange.html,arrange()
https://dplyr.tidyverse.org/reference/count.html,count()
https://dplyr.tidyverse.org/reference/count.html,tally()
https://dplyr.tidyverse.org/reference/count.html,add_count()
https://dplyr.tidyverse.org/reference/count.html,add_tally()
https://dplyr.tidyverse.org/reference/distinct.html,distinct()
https://dplyr.tidyverse.org/reference/filter.html,filter()
https://dplyr.tidyverse.org/reference/glimpse.html,glimpse
https://dplyr.tidyverse.org/reference/mutate.html,mutate()
https://dplyr.tidyverse.org/reference/mutate.html,transmute()
https://dplyr.tidyverse.org/reference/pull.html,pull()
https://dplyr.tidyverse.org/reference/relocate.html,relocate()
https://dplyr.tidyverse.org/reference/rename.html,rename()
https://dplyr.tidyverse.org/reference/rename.html,rename_with()
https://dplyr.tidyverse.org/reference/select.html,select()
https://dplyr.tidyverse.org/reference/summarise.html,summarise()
https://dplyr.tidyverse.org/reference/summarise.html,summarize()
https://dplyr.tidyverse.org/reference/slice.html,slice()
https://dplyr.tidyverse.org/reference/slice.html,slice_head()
https://dplyr.tidyverse.org/reference/slice.html,slice_tail()
https://dplyr.tidyverse.org/reference/slice.html,slice_min()
https://dplyr.tidyverse.org/reference/slice.html,slice_max()
https://dplyr.tidyverse.org/reference/slice.html,slice_sample()
https://dplyr.tidyverse.org/reference/bind.html,bind_rows()
https://dplyr.tidyverse.org/reference/bind.html,bind_cols()
https://dplyr.tidyverse.org/reference/reexports.html,reexports
https://dplyr.tidyverse.org/reference/reexports.html,data_frame
https://dplyr.tidyverse.org/reference/reexports.html,data_frame_
https://dplyr.tidyverse.org/reference/reexports.html,as_data_frame
https://dplyr.tidyverse.org/reference/reexports.html,lst
https://dplyr.tidyverse.org/reference/reexports.html,lst_
https://dplyr.tidyverse.org/reference/reexports.html,add_row
https://dplyr.tidyverse.org/reference/reexports.html,type_sum
https://dplyr.tidyverse.org/reference/reexports.html,frame_data
https://dplyr.tidyverse.org/reference/reexports.html,tribble
https://dplyr.tidyverse.org/reference/reexports.html,tibble
https://dplyr.tidyverse.org/reference/reexports.html,as_tibble
https://dplyr.tidyverse.org/reference/reexports.html,view
https://dplyr.tidyverse.org/reference/reexports.html,tbl_sum
https://dplyr.tidyverse.org/reference/reexports.html,contains
https://dplyr.tidyverse.org/reference/reexports.html,select_helpers
https://dplyr.tidyverse.org/reference/reexports.html,ends_with
https://dplyr.tidyverse.org/reference/reexports.html,everything
https://dplyr.tidyverse.org/reference/reexports.html,matches
https://dplyr.tidyverse.org/reference/reexports.html,num_range
https://dplyr.tidyverse.org/reference/reexports.html,one_of
https://dplyr.tidyverse.org/reference/reexports.html,starts_with
https://dplyr.tidyverse.org/reference/reexports.html,last_col
https://dplyr.tidyverse.org/reference/reexports.html,any_of
https://dplyr.tidyverse.org/reference/reexports.html,all_of
https://dplyr.tidyverse.org/reference/reexports.html,intersect
https://dplyr.tidyverse.org/reference/reexports.html,union
