;function;code_to_add
0;arrange;<br><strong>Related Verbs:</strong><br><a class='fn_help' href='https://dplyr.tidyverse.org/reference/filter.html'>filter</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/mutate.html'>mutate</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/rename.html'>rename</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/select.html'>select</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/slice.html'>slice</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/summarise.html'>summarise</a>, 
1;count;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/count.html'>this source</a> for related verbs.
2;tally;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/count.html'>this source</a> for related verbs.
3;add_count;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/count.html'>this source</a> for related verbs.
4;add_tally;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/count.html'>this source</a> for related verbs.
5;distinct;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/distinct.html'>this source</a> for related verbs.
6;filter;<br><strong>Related Verbs:</strong><br><a class='fn_help' href='https://dplyr.tidyverse.org/reference/arrange.html'>arrange</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/mutate.html'>mutate</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/rename.html'>rename</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/select.html'>select</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/slice.html'>slice</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/summarise.html'>summarise</a>, 
7;glimp;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/glimpse.html'>this source</a> for related verbs.
8;mutate;<br><strong>Related Verbs:</strong><br><a class='fn_help' href='https://dplyr.tidyverse.org/reference/arrange.html'>arrange</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/filter.html'>filter</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/rename.html'>rename</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/select.html'>select</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/slice.html'>slice</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/summarise.html'>summarise</a>, 
9;transmute;<br><strong>Related Verbs:</strong><br><a class='fn_help' href='https://dplyr.tidyverse.org/reference/arrange.html'>arrange</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/filter.html'>filter</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/rename.html'>rename</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/select.html'>select</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/slice.html'>slice</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/summarise.html'>summarise</a>, 
10;pull;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/pull.html'>this source</a> for related verbs.
11;relocate;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/relocate.html'>this source</a> for related verbs.
12;rename;<br><strong>Related Verbs:</strong><br><a class='fn_help' href='https://dplyr.tidyverse.org/reference/arrange.html'>arrange</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/filter.html'>filter</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/mutate.html'>mutate</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/select.html'>select</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/slice.html'>slice</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/summarise.html'>summarise</a>, 
13;rename_with;<br><strong>Related Verbs:</strong><br><a class='fn_help' href='https://dplyr.tidyverse.org/reference/arrange.html'>arrange</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/filter.html'>filter</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/mutate.html'>mutate</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/select.html'>select</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/slice.html'>slice</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/summarise.html'>summarise</a>, 
14;select;<br><strong>Related Verbs:</strong><br><a class='fn_help' href='https://dplyr.tidyverse.org/reference/arrange.html'>arrange</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/filter.html'>filter</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/mutate.html'>mutate</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/rename.html'>rename</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/slice.html'>slice</a>, <a class='fn_help' href='https://dplyr.tidyverse.org/reference/summarise.html'>summarise</a>, 
